Year,Month,ID,sex,Carapace width (lateral spines) (mm),Carapace length (mm),Carapace width (base) (mm),Maturity,Claw Height (mm),Abdomen width (mm),carapace_width_spines,chela_height,abdomen_width
2021,October,BOCOURTI,F,108.8,57.2,91.2,M,14.1,40.4,108.8,14.1,40.4
2021,January,SAPIDUS,F,113.8,51.84,88.23,M,16.19,38.31,113.8,16.19,38.31
2021,July,ORNATUS,F,114.02,57.96,94.25,M,15.44,42.42,114.02,15.44,42.42
2021,July,BOCOURTI,F,112.2,55.56,91.15,M,15.58,42.22,112.2,15.58,42.22
2021,October,ORNATUS,F,95.72,44.01,74.5,M,13.44,31.81,95.72,13.44,31.81
2021,July,BOCOURTI,F,94.33,51.13,83.26,M,20,35.52,94.33,20,35.52
2021,January,SAPIDUS,F,118,57,97,M,18,40,118,18,40
2020,October,SAPIDUS,F,123.65,57.67,123.22,m,18.56,41.08,123.65,18.56,41.08
2021,October,SAPIDUS,F,121.2,59.4,102.6,M,16,41.8,121.2,16,41.8
2021,October,BOCOURTI,F,101.52,49.05,81.37,M,14.89,36.43,101.52,14.89,36.43
2021,October,ORNATUS,F,102.47,46.79,79.66,M,15.88,32.49,102.47,15.88,32.49
2021,April,SIMILIS,F,108.03,49.38,85.38,M,16.67,33.54,108.03,16.67,33.54
2021,April,BOCOURTI,F,88.13,51.4,76.44,M,13.47,33.88,88.13,13.47,33.88
2021,July,SIMILIS,F,92.87,42.12,72.05,M,14.82,27.94,92.87,14.82,27.94
2021,October,SAPIDUS,F,160.89,52.2,88.15,M,15.77,38.54,160.89,15.77,38.54
2021,October,SAPIDUS,F,105.96,50.32,83.82,M,15.6,37.02,105.96,15.6,37.02
2020,October,SAPIDUS,F,120,55.5,71,m,20,41,120,20,41
2020,October,SAPIDUS,F,112,54,68,m,15.6,38.1,112,15.6,38.1
2021,October,ORNATUS,F,98.9,45.4,77.9,M,14.1,33.2,98.9,14.1,33.2
2020,October,SAPIDUS,F,111.28,51.71,88.42,m,15.39,36.91,111.28,15.39,36.91
2021,April,BOCOURTI,F,104.97,55.12,91.66,M,21.21,38.97,104.97,21.21,38.97
