"Date","Station","Year_Month","ID","sex","weight (g)","Carapace width (base) (mm)","Carapace width (lateral spines) (mm)","Carapace length (mm)","Maturity","Ovigerous"
"7/13/21","AP","2021-07","SIMILIS","F",60.73,80.01,95.4,46.63,"M",0
"1/20/21","AP","2021-01","SAPIDUS","F",102.57,105,126,60,"M",0
"7/13/21","AP","2021-07","BOCOURTI","F",84.3,89.8,109.84,54.3,"M",0
"7/15/21","DY","2021-07","BOCOURTI","F",84.43,94.24,110.87,56.68,"M",0
"4/19/21","IM","2021-04","BOCOURTI","F",78.76,86.94,107.47,57.85,"M",0
"7/13/21","BC","2021-07","BOCOURTI","F",96.17,85.06,96.61,53.26,"M",0
"1/19/21","AP","2021-01","BOCOURTI","F",85,74.41,78.94,49.49,"M",0
"10/21/20","DY","2020-10","SAPIDUS","F",76.26,93.62,118.35,54.1,"m",0
"10/14/21","AP","2021-10","BOCOURTI","F",55.95,80.9,102.58,48.2,"M",0
"10/14/21","DY","2021-10","BOCOURTI","F",74,86.5,106.11,55.3,"M",0
"10/15/21","BC","2021-10","ORNATUS","F",70.74,84.45,108.11,47.81,NA,0
"4/21/21","BC","2021-04","ORNATUS","F",85.3,88.72,107.52,55.84,"M",0
"10/15/21","DY","2021-10","SAPIDUS","F",81.8,88.2,116.9,52.6,NA,0
"10/14/21","AP","2021-10","BOCOURTI","F",80,91.2,108.8,57.2,"M",0
"1/19/21","AP","2021-01","SAPIDUS","F",65,88.23,113.8,51.84,"M",0
"7/14/21","AP","2021-07","ORNATUS","F",106,94.25,114.02,57.96,"M",0
"7/13/21","AP","2021-07","BOCOURTI","F",91.5,91.15,112.2,55.56,"M",0
"10/14/21","AP","2021-10","ORNATUS","F",48.65,74.5,95.72,44.01,"M",0
"7/13/21","BC","2021-07","BOCOURTI","F",80.1,83.26,94.33,51.13,"M",0
"1/20/21","AP","2021-01","SAPIDUS","F",93.84,97,118,57,"M",0
"10/21/20","AP","2020-10","SAPIDUS","F",106.21,123.22,123.65,57.67,"m",0
"10/14/21","AP","2021-10","SAPIDUS","F",111.4,102.6,121.2,59.4,"M",0
"10/14/21","AP","2021-10","BOCOURTI","F",64.68,81.37,101.52,49.05,"M",0
"10/17/20","BC","2020-10","BOCOURTI","F",99.6,77,121,60,"-",0
"10/14/21","AP","2021-10","ORNATUS","F",59.85,79.66,102.47,46.79,"M",0
"4/19/21","BC","2021-04","SIMILIS","F",71.78,85.38,108.03,49.38,"M",0
"4/19/21","AP","2021-04","BOCOURTI","F",57.05,76.44,88.13,51.4,"M",0
"7/13/21","BC","2021-07","SIMILIS","F",49.02,72.05,92.87,42.12,"M",0
"10/14/21","AP","2021-10","SAPIDUS","F",76.1,88.15,160.89,52.2,"M",0
"10/14/21","AP","2021-10","SAPIDUS","F",68.4,83.82,105.96,50.32,"M",0
"10/20/20","AP","2020-10","SAPIDUS","F",95,71,120,55.5,"m",0
"10/20/20","AP","2020-10","SAPIDUS","F",87.1,68,112,54,"m",0
"10/14/21","BC","2021-10","ORNATUS","F",48.7,77.9,98.9,45.4,"M",0
"10/21/20","BC","2020-10","SAPIDUS","F",76.93,88.42,111.28,51.71,"m",0
"4/19/21","BC","2021-04","BOCOURTI","F",102.29,91.66,104.97,55.12,"M",0
"10/21/20","IM","2020-10","BOCOURTI","F",68.92,80.8,96.01,49.4,"m",0
"10/15/21","AP","2021-10","BOCOURTI","F",109.92,105.61,117.17,61.05,NA,0
"7/13/21","AP","2021-07","BOCOURTI","F",68.54,82.5,100.17,49.64,"M",0
"1/20/21","AP","2021-01","SAPIDUS","F",91.13,95,123,56,"M",0
"1/19/21","AP","2021-01","BOCOURTI","F",104,88.34,100.21,52.94,"M",0
"1/20/21","AP","2021-01","SAPIDUS","F",73.97,88,110,50,"M",0
"1/19/21","IM","2021-01","BOCOURTI","F",68.7,82.48,100.56,51.17,"M",0
"1/20/21","AP","2021-01","SAPIDUS","F",103.44,103,125,60,"M",0
"10/13/21","AP","2021-10","SAPIDUS","F",77.89,89.26,113.31,51.8,"M",0
"10/21/20","DY","2020-10","SAPIDUS","F",129.54,102.68,132.83,59.42,"m",0
"10/14/21","AP","2021-10","SAPIDUS","F",111.7,104.1,125,61.5,"M",0
"1/20/21","AP","2021-01","SAPIDUS","F",121.2,105,126,60,"M",0
"10/13/21","AP","2021-10","BOCOURTI","F",80.62,84.95,101.16,55.22,"M",0
"10/14/21","AP","2021-10","SAPIDUS","F",107.23,97.9,124.87,56.47,"M",0
"4/21/21","IM","2021-04","ORNATUS","F",NA,79.23,95.87,50.05,"M",0
"10/20/20","AP","2020-10","SAPIDUS","F",94.4,75,125.42,56.11,"m",0
"10/15/21","AP","2021-10","SAPIDUS","F",94.11,92.42,117.04,55.16,NA,0
"10/14/21","AP","2021-10","SAPIDUS","F",114.1,97.5,124.8,56.9,"M",0
"10/14/21","DY","2021-10","BOCOURTI","F",66.26,82.46,98.94,49.09,"M",0
"1/20/21","AP","2021-01","SAPIDUS","F",116,101.18,123.74,57.25,"M",0
"1/20/21","AP","2021-01","SAPIDUS","F",85.97,95,121,50,"M",0
"10/13/21","AP","2021-10","BOCOURTI","F",106.1,95,116.2,59.9,"M",0
"4/21/21","IM","2021-04","ORNATUS","F",80.77,86.07,106.96,60.51,"M",0
"7/13/21","DY","2021-07","BOCOURTI","F",81.64,88.76,104.41,52.86,"M",0
"10/15/21","AP","2021-10","BOCOURTI","F",78.63,86.26,104.92,54.61,NA,0
"10/21/20","AP","2020-10","SAPIDUS","F",101.57,96.32,123.22,56.62,"m",0
"1/20/21","AP","2021-01","SAPIDUS","F",97.42,95,120,55,"M",0
"10/14/21","DY","2021-10","BOCOURTI","F",94.72,91.56,111.7,55.51,"M",0
"10/17/20","BC","2020-10","SAPIDUS","F",NA,74.4,118,59,"m",0
"1/20/21","AP","2021-01","SAPIDUS","F",167.63,115,141,66,"M",0
"10/20/20","AP","2020-10","BOCOURTI","F",93,75.4,112,55.41,"m",0
"1/20/21","AP","2021-01","SAPIDUS","F",94.1,97,118,57,"M",0
"1/20/21","AP","2021-01","BOCOURTI","F",84.5,89,101,57,"M",0
"4/19/21","AP","2021-04","BOCOURTI","F",73.62,81.25,97.68,50.96,"M",0
"10/14/21","BC","2021-10","SAPIDUS","F",91.9,101.5,131.2,58.7,"M",0
"10/13/21","AP","2021-10","SAPIDUS","M",207.4,116.6,140.15,69.03,"M",0
"10/13/21","AP","2021-10","SIMILIS","M",68.6,82,109.2,47.4,"M",0
"10/13/21","DY","2021-10","SIMILIS","M",93.11,90.6,123.4,52.3,"M",0
"10/14/21","DY","2021-10","SAPIDUS","M",135.2,104.7,131.3,59.8,"M",0
"10/14/21","DY","2021-10","BOCOURTI","M",153.64,101.89,117.24,61.56,"M",0
"10/14/21","DY","2021-10","SAPIDUS","M",12.3,45.5,61.3,27.5,"IM",0
"10/15/21","AP","2021-10","SIMILIS","M",64.29,79.23,102.86,45.84,NA,0
"10/15/21","AP","2021-10","SIMILIS","M",44.1,72.5,93,40.8,NA,0
"10/15/21","DY","2021-10","BOCOURTI","M",102.2,93.9,112.7,56.7,NA,0
"10/15/21","DY","2021-10","SIMILIS","M",73.51,81.06,110.2,48.34,NA,0
"1/20/21","AP","2021-01","SAPIDUS","M",170.67,109,132,65,"M",0
"1/19/21","IM","2021-01","BOCOURTI","M",153.67,99.73,114.16,63.18,"M",0
"1/19/21","IM","2021-01","BOCOURTI","M",146.06,95.62,108.2,61.25,"M",0
"1/19/21","IM","2021-01","BOCOURTI","M",140.33,94.34,106.1,60.97,"M",0
"7/14/21","DY","2021-07","BOCOURTI","M",115.64,92.26,108.86,56.66,"M",0
"1/20/21","IM","2021-01","BOCOURTI","M",125.19,90,107,63,"M",0
"1/20/21","IM","2021-01","BOCOURTI","M",78.84,83,89,50,"M",0
"4/19/21","AP","2021-04","SAPIDUS","M",60.7,81.58,110.42,48.15,"M",0
"4/19/21","DY","2021-04","BOCOURTI","M",56.03,75.37,99.55,44.34,"M",0
"4/19/21","IM","2021-04","BOCOURTI","M",102.82,87.41,108.78,53.97,"M",0
"4/19/21","IM","2021-04","SAPIDUS","M",63.33,83.75,99.13,52.02,"M",0
"4/20/21","AP","2021-04","BOCOURTI","M",71.38,81.63,96.14,52.36,"M",0
"4/20/21","IM","2021-04","BOCOURTI","M",54.21,72.35,88.29,46.95,"M",0
"4/21/21","AP","2021-04","SIMILIS","M",NA,70.9,91.73,40.73,"M",0
"4/21/21","BC","2021-04","SIMILIS","M",75.35,84.41,105.27,48,"M",0
"4/21/21","DY","2021-04","SAPIDUS","M",78.45,88.08,109.98,56.03,"M",0
"4/21/21","DY","2021-04","SAPIDUS","M",79.51,89.22,106.74,56.94,"M",0
"4/21/21","IM","2021-04","BOCOURTI","M",170.77,103.15,120.85,65.65,"M",0
"4/21/21","IM","2021-04","BOCOURTI","M",140.67,96.67,111.12,60.09,"M",0
"4/21/21","IM","2021-04","ORNATUS","M",72.88,78.85,86.69,50.01,"M",0
"7/13/21","AP","2021-07","SIMILIS","M",94.89,90.06,117.08,52.19,"M",0
"7/13/21","BC","2021-07","SIMILIS","M",79.19,84.18,107.12,47.97,"M",0
"7/13/21","DY","2021-07","BOCOURTI","M",89.23,86.27,103,56.26,"M",0
"7/13/21","IM","2021-07","BOCOURTI","M",119.07,93.85,109.46,59.74,"M",0
"7/14/21","IM","2021-07","BOCOURTI","M",160.42,104.25,112.78,64.75,"M",0
"7/15/21","IM","2021-07","SAPIDUS","M",201.86,115.56,140.08,67.8,"M",0
"7/15/21","IM","2021-07","SAPIDUS","M",183.16,112.21,130.07,65.62,"M",0
"7/15/21","IM","2021-07","BOCOURTI","M",127.44,103.34,121.19,62.31,"M",0
"7/15/21","IM","2021-07","BOCOURTI","M",83.87,88.37,100.93,54.43,"M",0
"10/17/20","BC","2020-10","SAPIDUS","M",140.3,83,116,59.08,"-",0
"10/17/20","BC","2020-10","SIMILIS","M",72.7,71,117.27,49.97,"-",0
"10/20/20","AP","2020-10","SAPIDUS","M",102.8,73.4,115,57.67,"-",0
"10/20/20","BC","2020-10","BOCOURTI","M",111.5,84,117.2,60.47,"-",0
"10/20/20","BC","2020-10","SIMILIS","M",58.13,77.16,105.42,47.14,NA,0
"10/20/20","DY","2020-10","SIMILIS","M",113.1,74.6,129.19,56,"-",0
"10/20/20","DY","2020-10","BOCOURTI","M",120.6,77.04,107.2,60.29,"-",0
"10/20/20","DY","2020-10","SIMILIS","M",66.7,68.21,107.53,48,"-",0
"10/20/20","DY","2020-10","SIMILIS","M",80,62.5,111,48.5,"-",0
"10/20/20","DY","2020-10","BOCOURTI","M",70.2,60,98.47,53,"-",0
"10/20/20","DY","2020-10","SAPIDUS","M",92.1,67.04,106,51,"-",0
"10/20/20","DY","2020-10","SIMILIS","M",86.7,68,118,51.4,"-",0
"10/21/20","AP","2020-10","SAPIDUS","M",4.23,NA,43.39,20.63,NA,0
